sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"MAPK1","Approved symbol","MAPK1","mitogen-activated protein kinase 1","HGNC:6871","22q11.22"
"FAM189A2","Approved symbol","FAM189A2","family with sequence similarity 189 member A2","HGNC:24820","9q21.12"
"PSMC3IP","Approved symbol","PSMC3IP","PSMC3 interacting protein","HGNC:17928","17q21.2"
"KRT16","Approved symbol","KRT16","keratin 16","HGNC:6423","17q21.2"
"ACP6","Approved symbol","ACP6","acid phosphatase 6, lysophosphatidic","HGNC:29609","1q21.2"
"MASP2","Approved symbol","MASP2","mannan binding lectin serine peptidase 2","HGNC:6902","1p36.22"
"BCL2L2","Approved symbol","BCL2L2","BCL2 like 2","HGNC:995","14q11.2"
"CCT2","Approved symbol","CCT2","chaperonin containing TCP1 subunit 2","HGNC:1615","12q15"
"USP43","Approved symbol","USP43","ubiquitin specific peptidase 43","HGNC:20072","17p12"
"WWTR1","Approved symbol","WWTR1","WW domain containing transcription regulator 1","HGNC:24042","3q25.1"
"PRDM10","Approved symbol","PRDM10","PR/SET domain 10","HGNC:13995","11q24.3"
"ROCK2","Approved symbol","ROCK2","Rho associated coiled-coil containing protein kinase 2","HGNC:10252","2p25.1"
"UBE3C","Approved symbol","UBE3C","ubiquitin protein ligase E3C","HGNC:16803","7q36.3"
"ADORA1","Approved symbol","ADORA1","adenosine A1 receptor","HGNC:262","1q32.1"
"FAR1","Approved symbol","FAR1","fatty acyl-CoA reductase 1","HGNC:26222","11p15.3"
"ALDH5A1","Approved symbol","ALDH5A1","aldehyde dehydrogenase 5 family member A1","HGNC:408","6p22.3"
"OTUD6B","Approved symbol","OTUD6B","OTU deubiquitinase 6B","HGNC:24281","8q21.3"
"NUDT21","Approved symbol","NUDT21","nudix hydrolase 21","HGNC:13870","16q13"
"MSI1","Approved symbol","MSI1","musashi RNA binding protein 1","HGNC:7330","12q24.31"
"DNAAF5","Approved symbol","DNAAF5","dynein axonemal assembly factor 5","HGNC:26013","7p22.3"
"PINX1","Approved symbol","PINX1","PIN2 (TERF1) interacting telomerase inhibitor 1","HGNC:30046","8p23.1"
"EIF2B4","Approved symbol","EIF2B4","eukaryotic translation initiation factor 2B subunit delta","HGNC:3260","2p23.3"
"PTPRB","Approved symbol","PTPRB","protein tyrosine phosphatase receptor type B","HGNC:9665","12q15"
"RRAS","Approved symbol","RRAS","RAS related","HGNC:10447","19q13.33"
"AURKB","Approved symbol","AURKB","aurora kinase B","HGNC:11390","17p13.1"
"DRD2","Approved symbol","DRD2","dopamine receptor D2","HGNC:3023","11q23.2"
"ASXL3","Approved symbol","ASXL3","ASXL transcriptional regulator 3","HGNC:29357","18q12.1"
"UBA52","Approved symbol","UBA52","ubiquitin A-52 residue ribosomal protein fusion product 1","HGNC:12458","19p13.1-p12"
"DCAF1","Approved symbol","DCAF1","DDB1 and CUL4 associated factor 1","HGNC:30911","3p21.2"
"FAM219A","Approved symbol","FAM219A","family with sequence similarity 219 member A","HGNC:19920","9p13.3"
"HBA2","Approved symbol","HBA2","hemoglobin subunit alpha 2","HGNC:4824","16p13.3"
"DIMT1","Approved symbol","DIMT1","DIMT1 rRNA methyltransferase and ribosome maturation factor","HGNC:30217","5q12.1"
"LEO1","Approved symbol","LEO1","LEO1 homolog, Paf1/RNA polymerase II complex component","HGNC:30401","15q21.2"
"STAP2","Approved symbol","STAP2","signal transducing adaptor family member 2","HGNC:30430","19p13.3"
"SEC16A","Approved symbol","SEC16A","SEC16 homolog A, endoplasmic reticulum export factor","HGNC:29006","9q34.3"
"MPZL2","Approved symbol","MPZL2","myelin protein zero like 2","HGNC:3496","11q24"
"SUMO3","Approved symbol","SUMO3","small ubiquitin like modifier 3","HGNC:11124","21q22.3"
"HIRA","Approved symbol","HIRA","histone cell cycle regulator","HGNC:4916","22q11.21"
"SLC25A12","Approved symbol","SLC25A12","solute carrier family 25 member 12","HGNC:10982","2q31.1"
"HBB","Approved symbol","HBB","hemoglobin subunit beta","HGNC:4827","11p15.4"
"TCF7L1","Approved symbol","TCF7L1","transcription factor 7 like 1","HGNC:11640","2p11.2"
"TNFRSF8","Approved symbol","TNFRSF8","TNF receptor superfamily member 8","HGNC:11923","1p36.22"
"CHAF1B","Approved symbol","CHAF1B","chromatin assembly factor 1 subunit B","HGNC:1911","21q22.12-q22.13"
"SH3PXD2A","Approved symbol","SH3PXD2A","SH3 and PX domains 2A","HGNC:23664","10q24.33"
"MMP12","Approved symbol","MMP12","matrix metallopeptidase 12","HGNC:7158","11q22.2"
"RBM14","Approved symbol","RBM14","RNA binding motif protein 14","HGNC:14219","11q13.2"
"TAF15","Approved symbol","TAF15","TATA-box binding protein associated factor 15","HGNC:11547","17q12"
"TMEM70","Approved symbol","TMEM70","transmembrane protein 70","HGNC:26050","8q21.11"
"FTO","Approved symbol","FTO","FTO alpha-ketoglutarate dependent dioxygenase","HGNC:24678","16q12.2"
"KLK11","Approved symbol","KLK11","kallikrein related peptidase 11","HGNC:6359","19q13.41"
"GLS2","Approved symbol","GLS2","glutaminase 2","HGNC:29570","12q13.3"
"MLLT11","Approved symbol","MLLT11","MLLT11 transcription factor 7 cofactor","HGNC:16997","1q21.3"
"PSMD11","Approved symbol","PSMD11","proteasome 26S subunit, non-ATPase 11","HGNC:9556","17q11.2"
"POLDIP2","Approved symbol","POLDIP2","DNA polymerase delta interacting protein 2","HGNC:23781","17q11.2"
"CAPRIN1","Approved symbol","CAPRIN1","cell cycle associated protein 1","HGNC:6743","11p13"
"PDHB","Approved symbol","PDHB","pyruvate dehydrogenase E1 subunit beta","HGNC:8808","3p14.3"
"PGAM1","Approved symbol","PGAM1","phosphoglycerate mutase 1","HGNC:8888","10q24.1"
"RDX","Approved symbol","RDX","radixin","HGNC:9944","11q22.3"
"CTPS1","Approved symbol","CTPS1","CTP synthase 1","HGNC:2519","1p34.2"
"LMAN2","Approved symbol","LMAN2","lectin, mannose binding 2","HGNC:16986","5q35.3"
"ARL2","Approved symbol","ARL2","ADP ribosylation factor like GTPase 2","HGNC:693","11q13.1"
"ITGA5","Approved symbol","ITGA5","integrin subunit alpha 5","HGNC:6141","12q13.13"
"RPS12","Approved symbol","RPS12","ribosomal protein S12","HGNC:10385","6q23.2"
"NDUFS1","Approved symbol","NDUFS1","NADH:ubiquinone oxidoreductase core subunit S1","HGNC:7707","2q33.3"
"EMG1","Approved symbol","EMG1","EMG1 N1-specific pseudouridine methyltransferase","HGNC:16912","12p13.31"
"CCR10","Approved symbol","CCR10","C-C motif chemokine receptor 10","HGNC:4474","17q21.2"
"MIRLET7A2","Approved symbol","MIRLET7A2","microRNA let-7a-2","HGNC:31477","11q24.1"
"KSR1","Approved symbol","KSR1","kinase suppressor of ras 1","HGNC:6465","17q11.2"
"SCML2","Approved symbol","SCML2","Scm polycomb group protein like 2","HGNC:10581","Xp22.13"
"SHB","Approved symbol","SHB","SH2 domain containing adaptor protein B","HGNC:10838","9p13.1"
"MAP3K5","Approved symbol","MAP3K5","mitogen-activated protein kinase kinase kinase 5","HGNC:6857","6q23.3"
"TUBGCP4","Approved symbol","TUBGCP4","tubulin gamma complex associated protein 4","HGNC:16691","15q15.3"
"AARSD1","Approved symbol","AARSD1","alanyl-tRNA synthetase domain containing 1","HGNC:28417","17q21.31"
"DRD1","Approved symbol","DRD1","dopamine receptor D1","HGNC:3020","5q35.2"
"GCN1","Approved symbol","GCN1","GCN1 activator of EIF2AK4","HGNC:4199","12q24.23"
"FBN3","Approved symbol","FBN3","fibrillin 3","HGNC:18794","19p13.2"
"LTB4R2","Approved symbol","LTB4R2","leukotriene B4 receptor 2","HGNC:19260","14q12"
"RNF114","Approved symbol","RNF114","ring finger protein 114","HGNC:13094","20q13.13"
"PTPN12","Approved symbol","PTPN12","protein tyrosine phosphatase non-receptor type 12","HGNC:9645","7q11.23"
"PSEN1","Approved symbol","PSEN1","presenilin 1","HGNC:9508","14q24.2"
"RAD18","Approved symbol","RAD18","RAD18 E3 ubiquitin protein ligase","HGNC:18278","3p25.3"
"CGN","Approved symbol","CGN","cingulin","HGNC:17429","1q21.3"
"AMPD2","Approved symbol","AMPD2","adenosine monophosphate deaminase 2","HGNC:469","1p13.3"
"TRIM37","Approved symbol","TRIM37","tripartite motif containing 37","HGNC:7523","17q22"
"FANCD2","Approved symbol","FANCD2","FA complementation group D2","HGNC:3585","3p25.3"
"WIZ","Approved symbol","WIZ","WIZ zinc finger","HGNC:30917","19p13.12"
"DDX11L8","Approved symbol","DDX11L8","DEAD/H-box helicase 11 like 8","HGNC:37101","12p13.33"
"FSCN1","Approved symbol","FSCN1","fascin actin-bundling protein 1","HGNC:11148","7p22.1"
"DNAAF2","Approved symbol","DNAAF2","dynein axonemal assembly factor 2","HGNC:20188","14q21.3"
"SARNP","Approved symbol","SARNP","SAP domain containing ribonucleoprotein","HGNC:24432","12q13.2"
"IL1B","Approved symbol","IL1B","interleukin 1 beta","HGNC:5992","2q14.1"
"PKP3","Approved symbol","PKP3","plakophilin 3","HGNC:9025","11p15.5"
"NSD1","Approved symbol","NSD1","nuclear receptor binding SET domain protein 1","HGNC:14234","5q35.3"
"CHRNA9","Approved symbol","CHRNA9","cholinergic receptor nicotinic alpha 9 subunit","HGNC:14079","4p14"
"KANK2","Approved symbol","KANK2","KN motif and ankyrin repeat domains 2","HGNC:29300","19p13.2"
"KLRF1","Approved symbol","KLRF1","killer cell lectin like receptor F1","HGNC:13342","12p13.31"
"CARS2","Approved symbol","CARS2","cysteinyl-tRNA synthetase 2, mitochondrial","HGNC:25695","13q34"
"RGPD5","Approved symbol","RGPD5","RANBP2 like and GRIP domain containing 5","HGNC:32418","2q13"
"RPS7","Approved symbol","RPS7","ribosomal protein S7","HGNC:10440","2p25.3"
"BLK","Approved symbol","BLK","BLK proto-oncogene, Src family tyrosine kinase","HGNC:1057","8p23.1"
"PAFAH1B3","Approved symbol","PAFAH1B3","platelet activating factor acetylhydrolase 1b catalytic subunit 3","HGNC:8576","19q13.1"
"MIR138-1","Approved symbol","MIR138-1","microRNA 138-1","HGNC:31524","3p21.32"
"GPR143","Approved symbol","GPR143","G protein-coupled receptor 143","HGNC:20145","Xp22.2"
"SERPINB9","Approved symbol","SERPINB9","serpin family B member 9","HGNC:8955","6p25.2"
"GPR35","Approved symbol","GPR35","G protein-coupled receptor 35","HGNC:4492","2q37.3"
"GALNT15","Approved symbol","GALNT15","polypeptide N-acetylgalactosaminyltransferase 15","HGNC:21531","3p25.1"
"GPX4","Approved symbol","GPX4","glutathione peroxidase 4","HGNC:4556","19p13.3"
"AAMDC","Approved symbol","AAMDC","adipogenesis associated Mth938 domain containing","HGNC:30205","11q14.1"
"PDE4B","Approved symbol","PDE4B","phosphodiesterase 4B","HGNC:8781","1p31.3"
"PTK6","Approved symbol","PTK6","protein tyrosine kinase 6","HGNC:9617","20q13.33"
"ACKR4","Approved symbol","ACKR4","atypical chemokine receptor 4","HGNC:1611","3q22.1"
"PACSIN1","Approved symbol","PACSIN1","protein kinase C and casein kinase substrate in neurons 1","HGNC:8570","6p21.3"
"TLR2","Approved symbol","TLR2","toll like receptor 2","HGNC:11848","4q31.3"
"TPM2","Approved symbol","TPM2","tropomyosin 2","HGNC:12011","9p13.3"
"HTR4","Approved symbol","HTR4","5-hydroxytryptamine receptor 4","HGNC:5299","5q32"
"PCGF6","Approved symbol","PCGF6","polycomb group ring finger 6","HGNC:21156","10q24.33"
"FLAD1","Approved symbol","FLAD1","flavin adenine dinucleotide synthetase 1","HGNC:24671","1q21.3"
"TFIP11","Approved symbol","TFIP11","tuftelin interacting protein 11","HGNC:17165","22q12.1"
"AFF4","Approved symbol","AFF4","AF4/FMR2 family member 4","HGNC:17869","5q31.1"
"NEFM","Approved symbol","NEFM","neurofilament medium","HGNC:7734","8p21.2"
"MATN2","Approved symbol","MATN2","matrilin 2","HGNC:6908","8q22.1-q22.2"
"PDCD6","Approved symbol","PDCD6","programmed cell death 6","HGNC:8765","5p15.33"
"PRPF38B","Approved symbol","PRPF38B","pre-mRNA processing factor 38B","HGNC:25512","1p13.3"
"BTAF1","Approved symbol","BTAF1","B-TFIID TATA-box binding protein associated factor 1","HGNC:17307","10q23.32"
"WDR5","Approved symbol","WDR5","WD repeat domain 5","HGNC:12757","9q34.2"
"TRAPPC2L","Approved symbol","TRAPPC2L","trafficking protein particle complex 2 like","HGNC:30887","16q24.3"
"PSMC1","Approved symbol","PSMC1","proteasome 26S subunit, ATPase 1","HGNC:9547","14q32.11"
"RPL23","Approved symbol","RPL23","ribosomal protein L23","HGNC:10316","17q12"
"TRIP4","Approved symbol","TRIP4","thyroid hormone receptor interactor 4","HGNC:12310","15q22.31"
"IFT57","Approved symbol","IFT57","intraflagellar transport 57","HGNC:17367","3q13.12-q13.13"
"DHX58","Approved symbol","DHX58","DExH-box helicase 58","HGNC:29517","17q21.2"
"IL7R","Approved symbol","IL7R","interleukin 7 receptor","HGNC:6024","5p13.2"
"SMAP2","Approved symbol","SMAP2","small ArfGAP2","HGNC:25082","1p34.2"
"AGAP1","Approved symbol","AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1","HGNC:16922","2q37.2"
"RICTOR","Approved symbol","RICTOR","RPTOR independent companion of MTOR complex 2","HGNC:28611","5p13.1"
"IRX1","Approved symbol","IRX1","iroquois homeobox 1","HGNC:14358","5p15.33"
"ZNF839","Approved symbol","ZNF839","zinc finger protein 839","HGNC:20345","14q32.31"
"TGFB1","Approved symbol","TGFB1","transforming growth factor beta 1","HGNC:11766","19q13.2"
"EIF4E2","Approved symbol","EIF4E2","eukaryotic translation initiation factor 4E family member 2","HGNC:3293","2q37.1"
"TAF1C","Approved symbol","TAF1C","TATA-box binding protein associated factor, RNA polymerase I subunit C","HGNC:11534","16q24"
"SAP130","Approved symbol","SAP130","Sin3A associated protein 130","HGNC:29813","2q14.3"
"MRPS6","Approved symbol","MRPS6","mitochondrial ribosomal protein S6","HGNC:14051","21q22.11"
"CKAP5","Approved symbol","CKAP5","cytoskeleton associated protein 5","HGNC:28959","11p11.2"
"ANKRD2","Approved symbol","ANKRD2","ankyrin repeat domain 2","HGNC:495","10q24.2"
"QKI","Approved symbol","QKI","QKI, KH domain containing RNA binding","HGNC:21100","6q26"
"SAP25","Approved symbol","SAP25","Sin3A associated protein 25","HGNC:41908","7q22.1"
"RAB8A","Approved symbol","RAB8A","RAB8A, member RAS oncogene family","HGNC:7007","19p13.11"
"CDKL3","Approved symbol","CDKL3","cyclin dependent kinase like 3","HGNC:15483","5q31.1"
"RPS6KB1","Approved symbol","RPS6KB1","ribosomal protein S6 kinase B1","HGNC:10436","17q23.1"
"NR1H3","Approved symbol","NR1H3","nuclear receptor subfamily 1 group H member 3","HGNC:7966","11p11.2"
"RRP9","Approved symbol","RRP9","ribosomal RNA processing 9, U3 small nucleolar RNA binding protein","HGNC:16829","3p21.2"
"TSNAX","Approved symbol","TSNAX","translin associated factor X","HGNC:12380","1q42.2"
"ARHGAP32","Approved symbol","ARHGAP32","Rho GTPase activating protein 32","HGNC:17399","11q24.3"
"CD74","Approved symbol","CD74","CD74 molecule","HGNC:1697","5q33.1"
"MAGEC2","Approved symbol","MAGEC2","MAGE family member C2","HGNC:13574","Xq27.2"
"OCLN","Approved symbol","OCLN","occludin","HGNC:8104","5q13.2"
"HDAC3","Approved symbol","HDAC3","histone deacetylase 3","HGNC:4854","5q31.3"
"NGFR","Approved symbol","NGFR","nerve growth factor receptor","HGNC:7809","17q21.33"
"SLC25A10","Approved symbol","SLC25A10","solute carrier family 25 member 10","HGNC:10980","17q25.3"
"PPP1CC","Approved symbol","PPP1CC","protein phosphatase 1 catalytic subunit gamma","HGNC:9283","12q24.11"
"SBF1","Approved symbol","SBF1","SET binding factor 1","HGNC:10542","22q13.33"
"STAM2","Approved symbol","STAM2","signal transducing adaptor molecule 2","HGNC:11358","2q23.3"
"PTPN14","Approved symbol","PTPN14","protein tyrosine phosphatase non-receptor type 14","HGNC:9647","1q32.3-q41"
"AKR1C1","Approved symbol","AKR1C1","aldo-keto reductase family 1 member C1","HGNC:384","10p15.1"
"UTP3","Approved symbol","UTP3","UTP3 small subunit processome component","HGNC:24477","4q13.3"
"PDCD1","Approved symbol","PDCD1","programmed cell death 1","HGNC:8760","2q37.3"
"MAP3K4","Approved symbol","MAP3K4","mitogen-activated protein kinase kinase kinase 4","HGNC:6856","6q26"
"FAM118B","Approved symbol","FAM118B","family with sequence similarity 118 member B","HGNC:26110","11q24.2"
"PEPD","Approved symbol","PEPD","peptidase D","HGNC:8840","19q13.11"
"ORC3","Approved symbol","ORC3","origin recognition complex subunit 3","HGNC:8489","6q15"
"CST3","Approved symbol","CST3","cystatin C","HGNC:2475","20p11.21"
"SSBP3","Approved symbol","SSBP3","single stranded DNA binding protein 3","HGNC:15674","1p32.3"
"ERCC8","Approved symbol","ERCC8","ERCC excision repair 8, CSA ubiquitin ligase complex subunit","HGNC:3439","5q12.1"
"C1orf35","Approved symbol","C1orf35","chromosome 1 open reading frame 35","HGNC:19032","1q42.13"
"RFTN1","Approved symbol","RFTN1","raftlin, lipid raft linker 1","HGNC:30278","3p24.3"
"TUBB1","Approved symbol","TUBB1","tubulin beta 1 class VI","HGNC:16257","20q13.32"
"CCNE2","Approved symbol","CCNE2","cyclin E2","HGNC:1590","8q22.1"
"MIR19B1","Approved symbol","MIR19B1","microRNA 19b-1","HGNC:31575","13q31.3"
"ZNF335","Approved symbol","ZNF335","zinc finger protein 335","HGNC:15807","20q13.12"
"CRTC2","Approved symbol","CRTC2","CREB regulated transcription coactivator 2","HGNC:27301","1q21.3"
"EPHX1","Approved symbol","EPHX1","epoxide hydrolase 1","HGNC:3401","1q42.12"
"RPL27","Approved symbol","RPL27","ribosomal protein L27","HGNC:10328","17q21.31"
"ACTL6B","Approved symbol","ACTL6B","actin like 6B","HGNC:160","7q22.1"
"RPL27AP6","Approved symbol","RPL27AP6","ribosomal protein L27a pseudogene 6","HGNC:35977","6q25.2"
"TP53INP1","Approved symbol","TP53INP1","tumor protein p53 inducible nuclear protein 1","HGNC:18022","8q22.1"
"SRSF9","Approved symbol","SRSF9","serine and arginine rich splicing factor 9","HGNC:10791","12q24.31"
"MAML1","Approved symbol","MAML1","mastermind like transcriptional coactivator 1","HGNC:13632","5q35.3"
"RYR1","Approved symbol","RYR1","ryanodine receptor 1","HGNC:10483","19q13.2"
"ANKLE2","Approved symbol","ANKLE2","ankyrin repeat and LEM domain containing 2","HGNC:29101","12q24.33"
"HNRNPM","Approved symbol","HNRNPM","heterogeneous nuclear ribonucleoprotein M","HGNC:5046","19p13.2"
"G6PC3","Approved symbol","G6PC3","glucose-6-phosphatase catalytic subunit 3","HGNC:24861","17q21.31"
"SHROOM3","Approved symbol","SHROOM3","shroom family member 3","HGNC:30422","4q21.1"
"HSPA2","Approved symbol","HSPA2","heat shock protein family A (Hsp70) member 2","HGNC:5235","14q23.3"
"ACTB","Approved symbol","ACTB","actin beta","HGNC:132","7p22.1"
"PIAS2","Approved symbol","PIAS2","protein inhibitor of activated STAT 2","HGNC:17311","18q21.1"
"HNRNPD","Approved symbol","HNRNPD","heterogeneous nuclear ribonucleoprotein D","HGNC:5036","4q21.22"
"DUSP14","Approved symbol","DUSP14","dual specificity phosphatase 14","HGNC:17007","17q12"
"ANKRD17","Approved symbol","ANKRD17","ankyrin repeat domain 17","HGNC:23575","4q13.3"
"BLM","Approved symbol","BLM","BLM RecQ like helicase","HGNC:1058","15q26.1"
"ZMYND11","Approved symbol","ZMYND11","zinc finger MYND-type containing 11","HGNC:16966","10p15.3"
"ZSCAN21","Approved symbol","ZSCAN21","zinc finger and SCAN domain containing 21","HGNC:13104","7q22.1"
"KRT19","Approved symbol","KRT19","keratin 19","HGNC:6436","17q21.2"
"TOP1","Approved symbol","TOP1","DNA topoisomerase I","HGNC:11986","20q12"
"WFDC2","Approved symbol","WFDC2","WAP four-disulfide core domain 2","HGNC:15939","20q13.12"
"LRRC4","Approved symbol","LRRC4","leucine rich repeat containing 4","HGNC:15586","7q32.1"
"GLB1","Approved symbol","GLB1","galactosidase beta 1","HGNC:4298","3p22.3"
"FAM184A","Approved symbol","FAM184A","family with sequence similarity 184 member A","HGNC:20991","6q22.31"
"CREB1","Approved symbol","CREB1","cAMP responsive element binding protein 1","HGNC:2345","2q33.3"
"TXNDC2","Approved symbol","TXNDC2","thioredoxin domain containing 2","HGNC:16470","18p11.31-p11.2"
"BDKRB1","Approved symbol","BDKRB1","bradykinin receptor B1","HGNC:1029","14q32.2"
"PLK2","Approved symbol","PLK2","polo like kinase 2","HGNC:19699","5q11.2"
"CERS2","Approved symbol","CERS2","ceramide synthase 2","HGNC:14076","1q21.3"
"NEDD4L","Approved symbol","NEDD4L","NEDD4 like E3 ubiquitin protein ligase","HGNC:7728","18q21.31"
"PTTG1","Approved symbol","PTTG1","PTTG1 regulator of sister chromatid separation, securin","HGNC:9690","5q33.3"
"DOK4","Approved symbol","DOK4","docking protein 4","HGNC:19868","16q21"
"POU2F1","Approved symbol","POU2F1","POU class 2 homeobox 1","HGNC:9212","1q24.2"
"KIAA1107","Approved symbol","KIAA1107","KIAA1107","HGNC:29192","1p22.1"
"SYNGAP1","Approved symbol","SYNGAP1","synaptic Ras GTPase activating protein 1","HGNC:11497","6p21.32"
"NCAPG","Approved symbol","NCAPG","non-SMC condensin I complex subunit G","HGNC:24304","4p15.31"
"TNFRSF10B","Approved symbol","TNFRSF10B","TNF receptor superfamily member 10b","HGNC:11905","8p21.3"
"SLC7A5","Approved symbol","SLC7A5","solute carrier family 7 member 5","HGNC:11063","16q24.2"
"ITGB2","Approved symbol","ITGB2","integrin subunit beta 2","HGNC:6155","21q22.3"
"EXOC2","Approved symbol","EXOC2","exocyst complex component 2","HGNC:24968","6p25.3"
"ATR","Approved symbol","ATR","ATR serine/threonine kinase","HGNC:882","3q23"
"TOMM70","Approved symbol","TOMM70","translocase of outer mitochondrial membrane 70","HGNC:11985","3q12.2"
"CLPX","Approved symbol","CLPX","caseinolytic mitochondrial matrix peptidase chaperone subunit X","HGNC:2088","15q22.31"
"DYSF","Approved symbol","DYSF","dysferlin","HGNC:3097","2p13.2"
"MIR20B","Approved symbol","MIR20B","microRNA 20b","HGNC:32024","Xq26.2"
"FGB","Approved symbol","FGB","fibrinogen beta chain","HGNC:3662","4q31.3"
"P4HB","Approved symbol","P4HB","prolyl 4-hydroxylase subunit beta","HGNC:8548","17q25.3"
"MAPRE1","Approved symbol","MAPRE1","microtubule associated protein RP/EB family member 1","HGNC:6890","20q11.21"
"THOC2","Approved symbol","THOC2","THO complex 2","HGNC:19073","Xq25"
"FBXO21","Approved symbol","FBXO21","F-box protein 21","HGNC:13592","12q24.22"
"WDR6","Approved symbol","WDR6","WD repeat domain 6","HGNC:12758","3p21.31"
"BCL3","Approved symbol","BCL3","BCL3 transcription coactivator","HGNC:998","19q13.32"
"ILK","Approved symbol","ILK","integrin linked kinase","HGNC:6040","11p15.4"
"FGF11","Approved symbol","FGF11","fibroblast growth factor 11","HGNC:3667","17p13.1"
"MPP1","Approved symbol","MPP1","membrane palmitoylated protein 1","HGNC:7219","Xq28"
"FGFR3","Approved symbol","FGFR3","fibroblast growth factor receptor 3","HGNC:3690","4p16.3"
"DPP8","Approved symbol","DPP8","dipeptidyl peptidase 8","HGNC:16490","15q22.31"
"TRIM44","Approved symbol","TRIM44","tripartite motif containing 44","HGNC:19016","11p13"
"FHL3","Approved symbol","FHL3","four and a half LIM domains 3","HGNC:3704","1p34.3"
"SERPINA4","Approved symbol","SERPINA4","serpin family A member 4","HGNC:8948","14q32.13"
"PDP1","Approved symbol","PDP1","pyruvate dehyrogenase phosphatase catalytic subunit 1","HGNC:9279","8q22.1"
"TRIM29","Approved symbol","TRIM29","tripartite motif containing 29","HGNC:17274","11q23.3"
"ZSCAN1","Approved symbol","ZSCAN1","zinc finger and SCAN domain containing 1","HGNC:23712","19q13.43"
"RABGAP1","Approved symbol","RABGAP1","RAB GTPase activating protein 1","HGNC:17155","9q33.2-q33.3"
"USP26","Approved symbol","USP26","ubiquitin specific peptidase 26","HGNC:13485","Xq26.2"
"CDX2","Approved symbol","CDX2","caudal type homeobox 2","HGNC:1806","13q12.2"
"CYP20A1","Approved symbol","CYP20A1","cytochrome P450 family 20 subfamily A member 1","HGNC:20576","2q33.2"
"RIC8A","Approved symbol","RIC8A","RIC8 guanine nucleotide exchange factor A","HGNC:29550","11p15.5"
"UBE2O","Approved symbol","UBE2O","ubiquitin conjugating enzyme E2 O","HGNC:29554","17q25.1"
"MLF1","Approved symbol","MLF1","myeloid leukemia factor 1","HGNC:7125","3q25.32"
"ASF1A","Approved symbol","ASF1A","anti-silencing function 1A histone chaperone","HGNC:20995","6q22.31"
"AGO2","Approved symbol","AGO2","argonaute RISC catalytic component 2","HGNC:3263","8q24.3"
"CFLAR","Approved symbol","CFLAR","CASP8 and FADD like apoptosis regulator","HGNC:1876","2q33.1"
"WDCP","Approved symbol","WDCP","WD repeat and coiled coil containing","HGNC:26157","2p23.3"
"PPFIA3","Approved symbol","PPFIA3","PTPRF interacting protein alpha 3","HGNC:9247","19q13.33"
"JADE1","Approved symbol","JADE1","jade family PHD finger 1","HGNC:30027","4q28.2"
"MOB4","Approved symbol","MOB4","MOB family member 4, phocein","HGNC:17261","2q33.1"
"PTK2B","Approved symbol","PTK2B","protein tyrosine kinase 2 beta","HGNC:9612","8p21.2"
"SAPCD1","Approved symbol","SAPCD1","suppressor APC domain containing 1","HGNC:13938","6p21.33"
"DAZAP1","Approved symbol","DAZAP1","DAZ associated protein 1","HGNC:2683","19p13.3"
"TRMO","Approved symbol","TRMO","tRNA methyltransferase O","HGNC:30967","9q22.33"
"CXXC1","Approved symbol","CXXC1","CXXC finger protein 1","HGNC:24343","18q21.1"
"STAU1","Approved symbol","STAU1","staufen double-stranded RNA binding protein 1","HGNC:11370","20q13.13"
"CCDC97","Approved symbol","CCDC97","coiled-coil domain containing 97","HGNC:28289","19q13.2"
"PDLIM2","Approved symbol","PDLIM2","PDZ and LIM domain 2","HGNC:13992","8p21.3"
"MAP7D1","Approved symbol","MAP7D1","MAP7 domain containing 1","HGNC:25514","1p34.3"
"PTPN18","Approved symbol","PTPN18","protein tyrosine phosphatase non-receptor type 18","HGNC:9649","2q21.1"
"APOA1","Approved symbol","APOA1","apolipoprotein A1","HGNC:600","11q23.3"
"A2M","Approved symbol","A2M","alpha-2-macroglobulin","HGNC:7","12p13.31"
"COPS6","Approved symbol","COPS6","COP9 signalosome subunit 6","HGNC:21749","7q22.1"
"TCP1","Approved symbol","TCP1","t-complex 1","HGNC:11655","6q25.3"
"JUN","Approved symbol","JUN","Jun proto-oncogene, AP-1 transcription factor subunit","HGNC:6204","1p32.1"
"MCL1","Approved symbol","MCL1","MCL1 apoptosis regulator, BCL2 family member","HGNC:6943","1q21.2"
"GFI1B","Approved symbol","GFI1B","growth factor independent 1B transcriptional repressor","HGNC:4238","9q34.13"
"RABGEF1","Approved symbol","RABGEF1","RAB guanine nucleotide exchange factor 1","HGNC:17676","7q11.21"
"SLC25A1","Approved symbol","SLC25A1","solute carrier family 25 member 1","HGNC:10979","22q11.21"
"OFD1","Approved symbol","OFD1","OFD1 centriole and centriolar satellite protein","HGNC:2567","Xp22.2"
"RIPK4","Approved symbol","RIPK4","receptor interacting serine/threonine kinase 4","HGNC:496","21q22.3"
"TCTN2","Approved symbol","TCTN2","tectonic family member 2","HGNC:25774","12q24.31"
"RFC1","Approved symbol","RFC1","replication factor C subunit 1","HGNC:9969","4p14"
"FER","Approved symbol","FER","FER tyrosine kinase","HGNC:3655","5q21.3"
"BCL2L10","Approved symbol","BCL2L10","BCL2 like 10","HGNC:993","15q21.2"
